2018 Medicare Spent,2019 Medicare Spent,2020 Medicare Spent,2021 Medicare Spent,2022 Medicare Spent
2291964.0,1656293.59,921613.53,68421.66,17986.87
1425067.98,2503035.25,8575266.62,10537120.34,985663.3200000001
1497144250.02,919600409.07,977372934.62,1354945738.3600001,1688334663.18
582602043.72,796002364.19,1106356248.4,1567482458.4,2339082716.0
6392703827.35,7241631681.96,7923617191.79,8219706333.73,8834844821.769999
948352988.24,1046594984.33,1097964639.5,1075578281.49,1078721076.19
358187.32,422651.9,352221.33,109530.35,92859.26
230729278.76999998,313270525.75,397866514.48,433864025.56,457553474.09000003
0.0,836708.89,4965428.53,10241348.55,11955145.77
104407.75,2162553.07,3637393.74,2472908.4899999998,1129801.22
145539.54,67938.57,62949.95,85683.27,1095849.56
159667547.78,175560892.81,197525885.78,175566698.9,123113490.03
106351235.55,140690556.05,154888500.46,136930706.12,105745260.94
0.0,0.0,0.0,21356248.44,100434804.44
0.0,2460128.41,4104247.18,8463014.41,12216656.329999998
5958670.54,4052672.51,3041274.33,3079706.22,361941.04
0.0,0.0,0.0,0.0,288719.31
0.0,16198198.34,48683550.49,69551731.92,86816590.79
51315688.67,86833965.04,113349510.13,146360859.58,173634923.57
116014333.79,144710583.14,196402946.54,199110901.46,194683927.54
0.0,0.0,0.0,3659617.88,11710169.55
33297.56,23951.62,13793.109999999999,13660.91,193425.38999999998
135818773.23,164444021.79000002,189976413.44,206523792.69,207071879.08999997
165888961.75,175465014.18,224471725.69099998,197891976.91,84658525.78
