2018 Medicare Units Produced,2019 Medicare Units Produced,2020 Medicare Units Produced,2021 Medicare Units Produced,2022 Medicare Units Produced
2799.0,9744.0,11250.0,11962.0,8217.0
115025.0,185287.96,190482.04499999998,785238.623,435574.325
164889.45,336979.55,255681.54,179642.31,41507.6
108780259.84099999,96262519.131,52442554.577999994,13788283.93,2013766.69
0.0,600.0,0.0,6510.0,2755.0
44386907.168,38691157.376,30893619.706,27461189.658,19642367.47
5250140.768,4780554.143,3171970.283,2682762.5319999997,2351168.0810000002
0.0,0.0,0.0,0.0,34841000.0
981050.0,17628733.0,60799147.1,74277437.0,96657531.0
0.0,0.0,0.0,0.0,540292.0
44328359.327,20974745.665,19554217.288999997,12499088.654,1918666.48
0.0,3048666.571,3740159.0,3819398.0,4151474.0
0.0,0.0,0.0,46000.0,33701.5
0.0,0.0,0.0,0.0,149986.0
77798468.942,52101430.922,9146102.408,369127.5,70216.0
0.0,0.0,0.0,0.0,6660.0
0.0,0.0,77440.0,1461829.0,1543656.0
4367126.0,4930664.0,5467518.0,5839013.0,7009271.0
32892274.5,21489220.154,15043614.26,12645956.379,10914111.0
213191264.12,382097960.79,585374692.723,780628029.59,763493706.294
0.0,0.0,7534.0,389836.0,633522.0
0.0,0.0,0.0,3553518.5,6784634.0
51471.0,859236.2,1735761.0,776670.0,195341.0
119246.4,1650020.4,1937358.6,1904196.0,2159824.8
215299.0,826572.0,1471812.0,2302897.0,3017697.0
347541.0,136811.0,50760.0,28600.0,5670.0
112660.0,37101.0,20761.0,17313.0,17216.0
242022.0,332307.0,404838.0,442993.0,476156.0
113650133.0,636163.0,38823.0,22184.0,22168.0
153253.4,69370.9,40677.24,57626.75,62687.8
566621.0,758466.5,628211.5,585162.0,584833.65
0.0,0.0,273839.0,974994.0,2081715.0
0.0,0.0,0.0,10930.0,44010.0
3433237.984,1920465.8,351398.2,70847.6,55010.0
5369.6,6263.05,5100.7,5987.1,7828.5
0.0,0.0,11289.0,25423.0,37825.0
0.0,133200.0,399600.0,449400.0,553800.0
11991.0,17646.0,23960.0,21488.0,22227.0
98562.7,75410.6,41146.1,3641.1,966.1
783279.5,596844.0,521890.5,313602.0,129139.0
13801325.25,5905625.955,5516871.37,7279442.15,7997367.27
53179.5,62138.0,85971.0,117608.5,180995.0
318032394.287,335381930.96,366921704.935,368098003.52699995,380024764.241
19061955.568,17109718.096,15949038.438,13808167.973,11586821.8
78614.0,93136.0,78292.0,23436.0,18553.0
9006409.5,13728065.15,17288381.7,18512679.45,19102571.9
0.0,37229.0,221977.0,427136.5,457454.0
11129.0,227826.0,384338.0,262459.0,129028.0
11477.0,5037.0,4638.0,6407.0,52503.0
580681751.016,595515706.763,611893938.6800001,534714187.473,389693093.144
367681534.82100004,483739335.56700003,508109919.72599995,419169327.005,294839660.941
0.0,0.0,0.0,40020.0,184349.0
0.0,28862.0,42923.8,111010.29999999999,167995.7
2464.0,1647.0,1233.0,1258.0,1222.0
0.0,0.0,0.0,0.0,847282.5
0.0,17275.0,42771.0,36054.0,27309.0
3962890.0,6536690.0,7847370.0,9305240.0,10176130.0
21283571.0,24807895.0,31456808.0,29805626.0,26577349.0
0.0,0.0,0.0,710.0,2211.0
20950.0,12808.0,10240.0,4380.0,26730.0
15055063.999,16847685.5,18588482.617,19212395.566,19101672.5
441267599.73899996,480133147.633,817571136.8610001,655091202.288,192387022.689
42223.0,36940.0,31620.0,28140.0,46700.0
57546.0,43327.0,396607.0,704806.0,770867.0
15871.0,16344.0,13605.0,12174.0,10864.0
